date,All-count,Conservative-count,Progressive-count,All-total_count,Conservative-total_count,Progressive-total_count,All-ratio,Conservative-ratio,Progressive-ratio
"2019-07-21","10","8","2","19460","6650","6430","0.0005138746145940391","0.0012030075187969924","0.00031104199066874026"
"2019-07-22","9","8","1","31652","11159","11438","0.0002843422216605586","0.0007169101173940317","8.742787200559538e-05"
"2019-07-23","19","18","1","34259","12189","12036","0.0005545987915584227","0.0014767413241447206","8.308408109006314e-05"
"2019-07-24","14","10","0","35135","12186","12546","0.0003984630710118116","0.0008206138191367143","0"
"2019-07-25","15","15","0","34454","11966","12351","0.00043536309281941136","0.0012535517299013873","0"
"2019-07-26","20","15","2","31655","10652","11362","0.000631811720107408","0.0014081862561021404","0.0001760253476500616"
"2019-07-27","13","13","0","19221","6578","6507","0.0006763435825399303","0.001976284584980237","0"
"2019-07-28","10","10","0","19435","6514","6302","0.0005145356315924878","0.0015351550506601166","0"
"2019-07-29","14","13","1","32421","11604","11169","0.00043181888282286173","0.0011203033436745949","8.95335303071e-05"
"2019-07-30","23","18","3","35335","12498","12339","0.0006509126927975096","0.0014402304368698992","0.00024313153415998054"
"2019-07-31","22","14","3","36117","13223","12569","0.0006091314339507711","0.0010587612493382743","0.00023868247275041769"
"2019-08-01","16","16","0","37289","13400","13182","0.00042908096221405776","0.0011940298507462687","0"
"2019-08-02","22","18","3","30410","10735","10965","0.0007234462347911871","0.0016767582673497905","0.00027359781121751026"
"2019-08-03","11","10","1","25679","9498","8047","0.00042836559056038005","0.0010528532322594231","0.00012426991425375916"
"2019-08-04","16","14","1","25796","10006","8279","0.0006202512017367033","0.0013991605036977814","0.00012078753472641623"
"2019-08-05","27","25","2","31719","11383","11264","0.0008512248179324695","0.002196257577088641","0.0001775568181818182"
"2019-08-06","10","10","0","33854","12412","11948","0.000295386069592958","0.0008056719303899452","0"
"2019-08-07","8","7","1","34691","12567","12264","0.00023060736214003632","0.0005570144028009867","8.153946510110893e-05"
"2019-08-08","10","10","0","34279","12589","12075","0.0002917237959100324","0.0007943442688061005","0"
"2019-08-09","5","5","0","30384","10544","11143","0.00016456029489204845","0.0004742033383915023","0"
"2019-08-10","4","4","0","19770","6914","6560","0.00020232675771370763","0.0005785363031530228","0"
"2019-08-11","5","5","0","18952","6758","6080","0.0002638243984803715","0.000739863865048831","0"
"2019-08-12","4","3","1","32559","11712","11479","0.00012285389600417702","0.00025614754098360657","8.711560240439062e-05"
"2019-08-13","3","3","0","32128","11882","11218","9.337649402390438e-05","0.0002524827470122875","0"
"2019-08-14","13","12","1","31001","11635","10766","0.0004193413115705945","0.0010313708637730984","9.288500835965076e-05"
